gender;education type;locality;religion;how_often;generation;1_event
f;higher;village;no;never;6;marriage
f;higher;village;yes;never;5;sep
f;higher;village;no;never;2;work
f;general;village;yes;sev_a_year;4;marriage
f;higher;village;yes;min_once_a_month;9;sep
f;general;village;yes;min_once_a_month;2;sep
f;general;village;yes;sev_a_year;9;education
f;professional;village;yes;sev_a_year;5;work
f;professional;village;no;sev_a_year;6;sep
f;professional;city;yes;sev_a_year;11;sep
f;higher;city;yes;sev_a_year;2;sep
m;general;city;yes;sev_a_year;10;work
m;general;city;no;never;6;sep
m;professional;city;no;sev_a_year;11;work
f;higher;city;yes;never;2;work
f;professional;city;no;never;10;sep
m;higher;city;no;never;2;sep
m;professional;city;no;never;10;education
f;general;city;no;never;11;work
f;higher;city;yes;never;8;sep
m;higher;city;yes;never;11;education
m;professional;city;yes;sev_a_year;8;work
f;higher;city;yes;min_once_a_month;4;sep
f;higher;city;yes;sev_a_year;5;sep
f;general;city;yes;sev_a_year;7;education
f;higher;city;no;never;4;sep
m;general;city;yes;sev_a_year;8;sep
f;professional;city;yes;never;8;work
m;professional;city;yes;sev_a_year;6;sep
f;professional;city;no;never;8;work
m;professional;city;yes;sev_a_year;8;education
f;higher;city;no;never;8;sep
f;professional;city;yes;never;6;education
f;professional;city;yes;never;8;sep
f;general;city;yes;never;5;work
f;general;city;yes;min_once_a_month;3;work
f;general;city;yes;once_a_week;3;education
m;general;city;yes;never;6;work
f;general;city;yes;never;10;education
f;higher;city;yes;never;8;sep
f;general;city;yes;never;4;sep
m;professional;city;yes;min_once_a_month;11;sep
m;professional;city;yes;sev_a_year;7;work
m;professional;city;yes;never;4;sep
f;professional;city;no;never;11;partner
f;professional;city;yes;sev_a_year;7;marriage
f;professional;city;yes;sev_a_year;4;work
f;higher;city;yes;sev_a_year;9;marriage
m;professional;city;yes;never;7;work
f;general;city;no;never;10;work
f;higher;city;no;never;10;partner
m;higher;city;no;never;7;work
f;professional;city;no;never;10;partner
m;higher;city;no;never;2;sep
m;higher;city;no;never;2;sep
f;higher;city;no;never;10;partner
f;professional;city;yes;sev_a_year;11;partner
m;professional;city;no;never;6;work
f;general;city;no;never;2;education
f;general;city;yes;sev_a_year;9;education
f;general;city;yes;once_a_week;2;work
f;general;city;yes;sev_a_year;3;work
m;higher;city;yes;sev_a_year;8;sep
f;professional;city;yes;sev_a_year;5;work
f;professional;city;yes;sev_a_year;5;sep
f;higher;city;yes;sev_a_year;9;child
f;higher;city;yes;sev_a_year;7;work
m;higher;city;no;never;1;sep
f;professional;city;yes;never;7;sep
m;higher;city;no;never;8;sep
f;higher;city;yes;min_once_a_month;2;marriage
f;higher;city;yes;sev_a_year;11;sep
m;general;city;no;never;3;work
f;higher;city;yes;sev_a_year;1;marriage
f;professional;city;yes;min_once_a_month;4;education
m;higher;city;no;never;11;sep
m;higher;city;yes;never;11;education
f;higher;city;yes;sev_a_year;2;sep
f;professional;city;no;sev_a_year;6;work
f;professional;city;yes;min_once_a_month;2;work
f;higher;city;no;never;10;sep
f;higher;city;yes;sev_a_year;6;sep
f;general;city;yes;never;5;sep
m;higher;city;yes;never;7;sep
f;professional;city;yes;never;10;sep
f;higher;city;yes;sev_a_year;5;education
m;general;city;yes;never;4;sep
f;higher;city;yes;never;8;work
f;professional;city;yes;never;7;education
f;general;city;yes;never;1;sep
f;general;city;no;never;2;sep
f;professional;city;yes;sev_a_year;1;sep
f;professional;city;yes;never;1;education
f;general;city;yes;min_once_a_month;8;partner
f;higher;city;yes;sev_a_year;6;work
m;general;city;no;never;11;work
m;professional;city;no;never;9;education
f;professional;city;yes;min_once_a_month;11;education
f;higher;city;yes;sev_a_year;6;work
m;higher;city;no;sev_a_year;11;education
f;general;city;yes;sev_a_year;5;work
m;general;city;yes;sev_a_year;11;sep
m;professional;city;yes;min_once_a_month;8;work
f;professional;city;yes;min_once_a_month;9;sep
f;higher;city;yes;sev_a_year;6;sep
f;professional;city;yes;sev_a_year;7;partner
f;higher;city;no;never;1;sep
m;professional;city;yes;sev_a_year;8;education
m;professional;city;yes;min_once_a_month;9;work
f;professional;city;yes;min_once_a_month;1;sep
m;professional;city;yes;never;7;education
f;general;city;yes;sev_a_year;1;sep
f;professional;city;yes;sev_a_year;7;work
m;professional;city;yes;sev_a_year;7;sep
f;professional;city;yes;sev_a_year;3;work
f;general;city;no;never;2;work
f;general;city;yes;sev_a_year;9;work
m;professional;city;yes;never;9;partner
f;higher;city;yes;sev_a_year;9;work
f;general;city;yes;never;6;education
f;higher;city;yes;sev_a_year;6;sep
f;higher;city;yes;sev_a_year;1;sep
f;professional;city;yes;sev_a_year;8;sep
f;general;city;yes;never;7;work
f;higher;city;yes;sev_a_year;5;work
f;professional;city;yes;never;6;work
f;professional;city;yes;never;6;education
f;professional;city;yes;never;7;sep
m;professional;city;no;never;10;education
f;professional;city;yes;never;5;sep
f;professional;city;yes;never;9;work
f;professional;city;yes;sev_a_year;5;education
f;professional;city;yes;never;10;sep
f;professional;city;yes;sev_a_year;8;sep
f;professional;city;yes;never;6;sep
f;professional;city;yes;never;7;work
f;general;city;yes;never;7;work
m;professional;city;yes;never;7;work
f;professional;city;yes;sev_a_year;1;work
f;general;city;yes;sev_a_year;10;work
f;general;city;yes;sev_a_year;8;work
f;professional;city;yes;sev_a_year;2;work
f;professional;city;yes;never;5;marriage
f;professional;city;yes;sev_a_year;8;education
f;higher;city;yes;sev_a_year;4;sep
m;professional;city;yes;sev_a_year;9;education
m;professional;city;yes;never;11;work
m;general;city;yes;never;7;work
f;professional;city;yes;min_once_a_month;5;work
f;higher;city;yes;min_once_a_month;5;work
m;professional;city;no;never;5;sep
f;higher;city;yes;sev_a_year;5;sep
m;general;city;yes;sev_a_year;1;work
f;higher;city;yes;sev_a_year;9;partner
f;professional;city;yes;sev_a_year;6;sep
f;general;city;yes;sev_a_year;1;sep
m;professional;city;yes;sev_a_year;10;sep
f;professional;city;yes;never;5;work
m;professional;city;no;never;11;sep
f;professional;city;yes;never;10;work
m;professional;city;yes;never;5;work
f;professional;city;yes;sev_a_year;9;partner
f;professional;city;yes;never;6;work
f;professional;city;no;never;6;education
f;general;city;yes;never;9;work
m;professional;city;yes;never;7;education
f;professional;city;yes;sev_a_year;8;sep
m;professional;city;yes;sev_a_year;7;education
f;general;city;no;never;1;education
m;general;city;no;never;11;education
m;professional;city;no;never;4;work
m;higher;city;yes;never;8;sep
f;general;city;yes;never;3;work
f;higher;city;yes;sev_a_year;4;sep
m;professional;city;yes;sev_a_year;11;work
m;professional;city;yes;sev_a_year;4;sep
f;higher;city;yes;never;5;sep
m;professional;city;yes;never;9;sep
f;professional;city;no;never;7;work
f;general;city;yes;sev_a_year;2;sep
f;professional;city;no;never;8;sep
f;higher;city;yes;sev_a_year;10;sep
f;general;city;yes;never;3;education
m;general;city;yes;sev_a_year;8;sep
f;higher;city;yes;sev_a_year;10;partner
m;professional;city;no;never;7;work
m;professional;city;yes;never;4;work
f;professional;city;yes;sev_a_year;7;sep
f;professional;city;no;sev_a_year;9;sep
m;general;city;no;never;6;work
m;professional;city;yes;sev_a_year;5;marriage
f;professional;city;yes;never;9;sep
m;professional;city;yes;never;8;work
m;professional;city;yes;never;7;education
f;professional;city;yes;sev_a_year;8;sep
f;general;city;yes;min_once_a_month;6;work
m;general;city;yes;sev_a_year;11;work
f;general;city;yes;sev_a_year;5;education
f;general;city;yes;never;4;work
f;professional;city;yes;sev_a_year;5;work
f;general;city;yes;sev_a_year;5;work
f;professional;city;yes;sev_a_year;6;sep
f;general;city;yes;sev_a_year;5;work
f;professional;city;yes;sev_a_year;5;sep
f;professional;city;yes;never;10;marriage
m;professional;city;yes;sev_a_year;5;sep
f;general;city;yes;sev_a_year;3;work
m;general;city;yes;never;6;work
m;professional;city;no;never;10;education
f;professional;city;yes;sev_a_year;5;sep
f;professional;city;yes;never;6;sep
m;professional;city;yes;never;5;work
f;professional;city;yes;never;6;sep
f;general;city;yes;never;1;sep
m;higher;city;yes;never;4;work
f;higher;city;yes;min_once_a_month;2;marriage
m;higher;city;yes;never;11;education
f;higher;city;yes;never;11;marriage
m;general;city;yes;never;10;work
f;professional;city;yes;never;5;education
f;professional;village;yes;never;2;sep
f;professional;village;yes;never;2;sep
f;professional;village;yes;never;5;sep
m;professional;village;no;never;5;work
f;professional;village;yes;sev_a_year;7;education
m;professional;village;no;never;6;child
f;general;village;yes;never;6;education
m;general;village;yes;never;9;work
f;professional;village;no;never;10;work
m;professional;village;yes;sev_a_year;7;marriage
f;general;village;yes;sev_a_year;2;work
f;professional;village;yes;never;7;partner
m;professional;village;yes;never;10;sep
m;professional;village;no;never;7;education
f;general;village;yes;never;5;education
f;general;village;yes;sev_a_year;1;work
m;professional;village;yes;sev_a_year;6;partner
m;general;village;yes;never;2;work
f;general;village;yes;never;1;work
f;higher;village;yes;sev_a_year;9;sep
f;professional;village;no;never;11;sep
f;general;village;yes;never;8;education
m;professional;village;yes;never;3;work
m;professional;village;yes;sev_a_year;6;work
m;professional;village;yes;never;8;work
f;general;village;yes;sev_a_year;2;work
m;general;village;yes;never;6;sep
m;professional;village;yes;never;7;education
f;professional;village;no;never;9;education
m;general;village;no;never;2;sep
f;higher;village;yes;sev_a_year;8;work
f;professional;village;no;never;9;sep
f;professional;village;yes;never;8;sep
f;general;village;yes;sev_a_year;7;work
f;professional;village;yes;never;5;sep
f;professional;village;yes;never;5;sep
m;professional;village;yes;sev_a_year;8;work
f;professional;village;yes;min_once_a_month;5;work
m;professional;village;yes;never;4;education
f;general;village;yes;never;3;work
f;professional;village;yes;sev_a_year;10;work
f;general;village;yes;sev_a_year;7;work
m;general;village;no;never;2;sep
f;higher;village;no;never;9;sep
f;general;village;yes;sev_a_year;9;partner
f;general;village;yes;never;5;education
f;professional;village;no;never;9;work
f;professional;village;yes;sev_a_year;6;sep
f;professional;village;yes;never;6;education
f;professional;village;no;sev_a_year;7;sep
f;professional;village;yes;sev_a_year;9;work
f;general;village;no;never;8;partner
m;professional;village;yes;never;9;education
f;professional;village;no;never;3;work
f;higher;village;yes;never;11;marriage
f;higher;village;yes;sev_a_year;10;sep
f;higher;village;yes;sev_a_year;9;sep
f;higher;village;yes;sev_a_year;10;marriage
f;general;village;yes;sev_a_year;8;education
f;professional;village;yes;sev_a_year;2;sep
f;higher;village;yes;never;9;sep
f;professional;village;yes;never;11;education
f;professional;village;no;sev_a_year;7;work
f;professional;village;yes;min_once_a_month;6;sep
m;general;village;yes;sev_a_year;6;work
f;higher;village;yes;sev_a_year;10;marriage
f;professional;village;yes;sev_a_year;4;sep
f;professional;village;yes;never;7;education
f;professional;village;yes;sev_a_year;9;sep
f;professional;village;yes;sev_a_year;9;education
f;professional;village;yes;sev_a_year;9;work
f;general;village;yes;sev_a_year;6;work
f;professional;village;yes;sev_a_year;7;sep
f;professional;village;yes;sev_a_year;5;education
f;professional;village;yes;sev_a_year;4;sep
f;professional;village;yes;sev_a_year;9;work
f;general;village;yes;never;1;education
f;professional;village;yes;never;8;sep
f;professional;village;yes;never;6;partner
f;general;village;yes;sev_a_year;2;work
m;professional;village;yes;never;7;education
f;higher;village;yes;never;11;work
f;professional;village;yes;never;9;education
f;general;village;yes;never;1;education
f;professional;village;yes;never;3;education
m;professional;village;yes;sev_a_year;6;work
f;higher;village;yes;never;7;sep
f;higher;village;yes;never;6;sep
f;professional;village;yes;never;9;education
f;higher;village;yes;never;4;work
m;professional;village;yes;never;2;work
m;professional;village;yes;never;2;sep
f;higher;village;yes;min_once_a_month;9;sep
f;higher;village;yes;never;4;work
f;professional;village;yes;never;6;sep
m;higher;village;yes;never;9;sep
m;professional;village;yes;never;3;sep
f;general;village;yes;never;6;work
f;professional;village;yes;sev_a_year;7;partner
m;professional;village;yes;sev_a_year;7;education
f;professional;village;yes;never;10;marriage
f;professional;village;yes;sev_a_year;6;education
m;professional;village;no;never;7;work
f;professional;village;yes;never;9;sep
m;professional;village;no;never;9;education
f;professional;village;yes;sev_a_year;9;sep
m;professional;village;no;never;7;education
m;professional;village;no;never;9;education
m;higher;village;no;never;10;sep
f;professional;village;yes;never;5;education
f;general;village;yes;never;5;education
f;professional;village;yes;sev_a_year;2;sep
m;general;village;yes;never;7;work
f;higher;village;yes;sev_a_year;6;work
f;general;village;yes;never;4;work
f;professional;village;yes;sev_a_year;7;sep
m;professional;village;yes;never;2;education
m;professional;village;yes;sev_a_year;7;work
f;general;village;yes;min_once_a_month;2;education
m;professional;village;yes;never;2;sep
m;higher;village;yes;never;8;marriage
f;professional;village;no;never;7;sep
m;general;village;yes;never;2;work
m;professional;village;yes;sev_a_year;8;education
m;professional;village;yes;never;9;education
f;professional;village;yes;sev_a_year;6;partner
m;professional;village;no;never;9;work
f;general;village;yes;never;2;work
f;professional;village;yes;never;6;work
f;higher;village;yes;never;5;education
m;professional;village;yes;never;8;education
f;general;village;no;never;6;education
f;higher;village;yes;never;7;sep
f;professional;village;yes;never;2;education
f;general;village;yes;never;2;work
m;professional;village;yes;never;5;work
f;professional;village;no;never;9;sep
f;higher;village;no;never;6;education
f;professional;village;no;never;10;education
f;professional;village;yes;never;9;marriage
f;general;village;yes;sev_a_year;3;work
f;professional;village;yes;sev_a_year;2;marriage
m;professional;village;yes;never;6;education
f;general;village;yes;never;1;education
m;professional;village;yes;never;7;sep
f;higher;village;yes;never;8;sep
f;professional;village;yes;never;6;education
f;professional;village;yes;never;10;sep
m;general;village;yes;never;10;sep
m;professional;village;yes;sev_a_year;6;sep
m;general;village;yes;never;11;education
f;professional;village;yes;never;5;education
f;professional;village;yes;sev_a_year;10;education
f;professional;village;yes;sev_a_year;8;sep
m;professional;village;yes;never;4;sep
f;general;village;yes;sev_a_year;3;work
f;professional;village;no;never;7;education
f;general;village;yes;never;1;education
f;professional;village;yes;sev_a_year;10;work
f;professional;village;no;never;9;work
f;professional;village;no;never;6;work
f;professional;village;yes;never;7;sep
f;professional;village;yes;once_a_week;7;work
f;professional;village;yes;sev_a_year;8;sep
f;professional;village;no;never;5;work
f;general;village;yes;never;1;education
m;professional;village;yes;never;5;sep
m;professional;village;yes;never;8;work
f;professional;village;yes;never;8;sep
f;general;village;yes;sev_a_year;2;education
f;general;village;yes;never;4;work
m;professional;village;yes;sev_a_year;3;education
m;higher;village;yes;never;10;education
f;professional;village;yes;never;5;marriage
f;higher;village;yes;never;7;sep
f;professional;village;yes;sev_a_year;7;education
f;professional;village;yes;sev_a_year;5;work
f;higher;village;no;never;2;sep
m;professional;village;yes;sev_a_year;6;education
f;professional;village;yes;sev_a_year;7;sep
f;professional;village;yes;never;8;education
f;general;village;no;never;11;marriage
m;higher;village;no;never;9;marriage
f;general;village;yes;never;1;work
f;professional;village;yes;never;4;work
m;general;village;yes;never;3;work
m;professional;village;yes;never;7;work
f;general;village;yes;never;4;work
f;professional;village;yes;never;7;sep
m;professional;village;no;never;2;work
f;higher;village;yes;never;2;sep
f;general;village;yes;never;2;work
f;professional;village;yes;never;9;sep
f;professional;village;yes;never;5;sep
m;professional;village;yes;never;3;education
m;general;village;yes;never;2;work
f;professional;village;no;never;7;work
m;general;village;yes;never;1;work
f;higher;city;yes;sev_a_week;2;sep
m;higher;city;yes;min_once_a_month;1;sep
f;professional;city;yes;sev_a_year;3;sep
f;higher;city;yes;sev_a_year;6;work
f;professional;city;yes;sev_a_year;7;partner
f;general;city;yes;sev_a_year;4;education
f;professional;city;yes;never;8;partner
f;professional;city;yes;sev_a_year;1;sep
f;professional;city;yes;sev_a_year;8;sep
f;professional;city;yes;sev_a_year;8;sep
f;professional;city;yes;never;7;work
f;higher;city;yes;min_once_a_month;8;work
f;higher;city;no;never;2;education
f;general;city;no;never;5;work
f;general;city;yes;sev_a_year;2;education
m;higher;city;yes;never;9;sep
f;professional;city;yes;min_once_a_month;7;work
f;general;city;yes;sev_a_year;4;work
m;general;city;yes;sev_a_year;5;marriage
f;higher;city;yes;sev_a_year;5;sep
f;higher;city;yes;min_once_a_month;8;marriage
f;professional;city;yes;never;10;partner
f;professional;city;yes;sev_a_year;9;partner
f;higher;city;no;never;7;work
m;higher;city;yes;never;10;sep
m;higher;city;no;never;10;work
f;professional;city;yes;sev_a_year;3;work
f;professional;city;yes;never;6;work
f;professional;city;yes;never;1;work
f;professional;city;yes;never;5;sep
m;professional;city;yes;sev_a_year;11;education
f;professional;city;yes;sev_a_year;1;sep
m;general;city;yes;sev_a_year;10;work
f;professional;city;no;sev_a_year;11;work
f;professional;city;yes;sev_a_year;4;work
f;higher;city;yes;min_once_a_month;3;sep
f;higher;city;yes;never;3;sep
f;professional;city;yes;sev_a_year;5;work
f;higher;city;yes;sev_a_year;10;partner
f;professional;city;yes;min_once_a_month;7;work
f;professional;city;yes;sev_a_year;2;work
f;professional;city;yes;never;10;education
f;professional;city;yes;sev_a_year;7;partner
m;general;city;yes;never;3;work
f;higher;city;yes;sev_a_year;8;education
m;general;city;no;never;8;sep
f;professional;city;yes;never;2;sep
f;general;city;yes;sev_a_year;2;education
m;general;city;no;never;2;work
f;professional;city;no;never;2;sep
f;professional;city;yes;never;8;sep
f;professional;city;yes;min_once_a_month;11;sep
f;higher;city;yes;sev_a_year;10;education
f;professional;city;yes;never;7;sep
m;professional;city;yes;once_a_week;6;sep
m;professional;city;no;never;9;work
f;professional;city;yes;sev_a_year;6;work
f;professional;city;yes;sev_a_year;8;sep
f;professional;city;yes;sev_a_year;7;sep
m;professional;city;no;never;9;work
m;professional;city;yes;sev_a_year;9;work
f;professional;city;yes;sev_a_year;3;work
m;general;city;yes;never;3;work
f;professional;city;no;never;7;work
m;higher;city;yes;never;5;sep
f;general;city;yes;sev_a_week;4;work
f;professional;city;yes;sev_a_year;5;work
m;higher;city;no;never;7;sep
m;general;city;yes;never;10;education
f;general;city;yes;sev_a_year;5;work
f;higher;city;yes;never;2;work
f;professional;city;yes;min_once_a_month;5;work
m;higher;city;yes;sev_a_year;1;sep
m;higher;city;yes;sev_a_year;9;education
f;professional;city;yes;never;8;sep
f;higher;city;yes;sev_a_year;11;marriage
m;general;city;yes;min_once_a_month;3;sep
f;professional;city;yes;sev_a_year;10;work
f;professional;city;yes;sev_a_year;7;sep
f;professional;city;yes;sev_a_year;7;work
f;professional;city;yes;never;6;sep
m;general;city;yes;sev_a_year;9;work
f;professional;town;no;never;6;work
f;higher;town;yes;once_a_week;10;marriage
f;higher;town;yes;sev_a_year;9;child
f;professional;town;yes;sev_a_year;4;marriage
f;professional;town;no;never;11;education
m;professional;town;yes;never;9;work
m;professional;town;yes;never;2;sep
m;professional;town;yes;never;8;education
f;professional;town;no;never;2;sep
f;professional;town;yes;sev_a_year;2;sep
f;professional;town;yes;sev_a_year;7;sep
m;higher;town;yes;never;10;sep
f;professional;town;no;never;11;education
f;professional;town;yes;never;10;education
f;professional;town;yes;never;4;sep
m;professional;town;yes;never;10;work
f;professional;town;yes;never;8;sep
f;higher;town;yes;sev_a_year;7;sep
m;professional;town;no;never;1;work
f;professional;town;yes;never;5;sep
f;professional;town;yes;never;6;work
f;higher;town;yes;never;8;marriage
f;higher;town;no;never;6;sep
m;professional;town;no;never;5;work
f;professional;town;yes;once_a_week;2;work
f;professional;town;yes;never;2;sep
f;professional;town;yes;sev_a_year;2;partner
f;professional;town;yes;sev_a_week;6;sep
m;professional;town;yes;never;5;work
f;higher;town;yes;sev_a_year;7;sep
m;professional;town;yes;never;6;work
f;general;town;yes;never;1;work
f;general;town;yes;never;3;work
f;general;town;yes;never;2;work
m;higher;town;no;never;2;sep
f;professional;town;yes;min_once_a_month;2;sep
f;higher;town;yes;sev_a_year;5;sep
f;professional;town;yes;sev_a_year;4;marriage
f;professional;town;yes;sev_a_year;8;sep
f;professional;town;yes;sev_a_year;6;education
m;professional;town;no;never;7;education
f;general;town;yes;sev_a_year;3;education
f;professional;town;yes;never;5;education
f;professional;town;yes;never;9;work
m;professional;town;yes;sev_a_year;6;sep
f;general;town;yes;never;6;work
f;professional;town;yes;once_a_week;2;education
f;professional;town;yes;sev_a_year;8;child
f;general;town;yes;sev_a_year;7;sep
f;professional;town;yes;sev_a_year;9;sep
f;higher;town;yes;sev_a_year;10;sep
m;professional;town;no;never;8;education
f;professional;town;yes;sev_a_year;6;marriage
m;professional;town;no;never;4;work
f;higher;town;yes;sev_a_year;5;sep
f;professional;town;yes;never;10;education
f;higher;town;yes;never;6;education
f;professional;town;yes;never;6;education
m;professional;town;yes;sev_a_year;9;education
m;general;town;yes;never;6;education
f;professional;town;yes;never;5;education
f;higher;town;yes;sev_a_year;2;sep
f;professional;town;no;never;7;sep
f;professional;town;no;never;5;education
f;professional;town;yes;sev_a_year;3;education
m;higher;town;yes;never;4;sep
f;professional;town;yes;never;7;education
f;general;town;yes;once_a_week;2;work
m;general;town;yes;never;2;education
f;higher;town;no;never;7;marriage
m;professional;town;no;never;9;education
m;higher;town;yes;never;1;marriage
m;higher;town;yes;never;1;sep
m;general;town;no;never;9;education
m;higher;town;no;never;10;sep
f;higher;town;yes;never;5;sep
f;higher;town;yes;sev_a_year;10;work
f;professional;town;yes;min_once_a_month;5;sep
m;professional;town;yes;never;6;education
f;professional;town;yes;sev_a_year;9;sep
m;general;town;no;never;8;work
m;general;town;yes;sev_a_year;2;education
f;professional;town;yes;sev_a_year;6;sep
m;professional;town;yes;sev_a_year;7;work
m;higher;town;yes;sev_a_year;9;work
f;general;town;yes;sev_a_year;2;education
f;professional;town;yes;never;3;education
f;general;village;yes;sev_a_year;5;work
f;professional;village;yes;sev_a_year;8;marriage
f;general;village;yes;sev_a_year;2;work
f;general;village;yes;never;7;work
f;general;village;yes;sev_a_year;3;education
f;higher;village;no;never;7;sep
f;general;village;yes;never;7;work
f;professional;village;yes;sev_a_year;7;sep
f;general;village;yes;sev_a_year;9;work
f;professional;village;yes;sev_a_year;9;education
f;general;village;yes;sev_a_year;9;partner
f;general;village;yes;sev_a_year;7;work
f;professional;village;yes;sev_a_year;7;marriage
m;general;village;no;never;2;education
f;general;village;yes;never;5;work
m;professional;village;yes;never;3;sep
m;higher;village;no;never;7;sep
f;general;village;no;never;7;sep
m;general;village;no;never;7;work
f;professional;village;yes;sev_a_year;8;sep
f;higher;village;no;never;7;sep
m;professional;village;yes;never;7;work
m;professional;village;yes;sev_a_year;8;work
f;professional;village;yes;never;7;sep
m;professional;village;yes;never;7;sep
m;general;village;no;never;6;sep
m;professional;village;yes;never;6;sep
m;general;village;yes;never;2;education
f;professional;village;yes;sev_a_year;9;partner
f;professional;village;yes;never;5;sep
f;general;village;yes;never;3;education
f;professional;village;no;never;6;sep
f;general;village;yes;never;3;education
m;professional;village;yes;sev_a_year;7;education
m;professional;village;no;never;11;work
m;general;village;no;never;7;education
m;professional;village;yes;never;9;work
f;higher;village;yes;sev_a_year;7;sep
f;general;village;yes;never;11;education
f;professional;village;yes;sev_a_year;6;work
f;general;village;yes;sev_a_year;8;work
m;general;village;no;never;8;education
f;general;village;yes;sev_a_week;6;education
f;general;village;yes;never;4;work
f;general;village;no;never;8;sep
f;general;village;yes;never;5;work
f;general;village;yes;sev_a_year;3;education
f;general;village;yes;never;8;education
f;general;village;yes;never;6;partner
f;professional;village;yes;sev_a_year;8;work
m;professional;village;yes;never;6;work
f;professional;village;yes;sev_a_year;6;sep
m;professional;village;yes;never;9;sep
f;general;village;yes;min_once_a_month;10;education
m;higher;village;yes;min_once_a_month;7;sep
f;professional;village;no;never;7;work
f;professional;village;yes;min_once_a_month;4;sep
f;higher;village;yes;never;9;work
f;professional;village;yes;sev_a_year;3;sep
m;professional;village;yes;min_once_a_month;7;work
f;higher;village;no;never;6;child
f;higher;village;yes;sev_a_year;9;marriage
f;professional;village;no;never;7;partner
f;general;village;yes;min_once_a_month;2;work
m;general;village;no;never;9;education
f;higher;village;yes;sev_a_year;9;work
f;higher;village;yes;never;3;sep
f;general;village;yes;never;1;education
m;general;village;yes;never;3;education
f;professional;village;yes;sev_a_year;1;sep
m;general;village;yes;never;1;work
f;general;village;yes;never;2;education
m;general;village;yes;never;1;education
f;general;village;yes;never;2;work
f;general;village;yes;never;1;education
f;general;village;yes;never;2;education
m;general;village;yes;never;1;education
m;professional;town;yes;min_once_a_month;4;education
m;general;town;no;never;5;work
f;professional;town;yes;never;9;work
f;higher;town;yes;never;6;work
f;higher;town;yes;never;6;education
m;higher;town;yes;min_once_a_month;11;marriage
f;general;town;yes;never;11;work
f;higher;town;yes;never;6;sep
f;professional;town;yes;sev_a_year;6;sep
f;general;town;yes;never;1;work
f;higher;town;yes;never;6;marriage
f;professional;town;yes;never;8;education
f;professional;town;yes;never;7;sep
f;professional;town;yes;never;8;education
m;professional;town;yes;sev_a_year;5;work
f;higher;town;yes;never;7;work
m;professional;town;yes;sev_a_year;6;partner
f;professional;town;yes;never;9;education
f;higher;town;yes;never;10;education
m;professional;town;yes;sev_a_year;8;education
f;general;town;yes;never;1;work
m;general;town;yes;once_a_week;3;education
f;general;town;yes;never;3;education
m;general;town;yes;sev_a_year;7;education
f;professional;town;yes;never;6;partner
f;professional;town;yes;min_once_a_month;4;education
m;higher;town;yes;sev_a_year;10;education
m;professional;town;yes;sev_a_year;8;work
f;higher;town;yes;never;7;sep
m;general;town;yes;sev_a_year;3;education
m;professional;town;yes;sev_a_year;9;work
f;general;town;yes;never;4;work
f;professional;town;yes;never;10;education
m;professional;town;yes;min_once_a_month;10;education
f;higher;town;yes;never;8;education
m;general;town;yes;sev_a_year;8;sep
m;higher;town;yes;once_a_week;7;education
f;general;town;yes;never;3;work
m;general;town;yes;min_once_a_month;4;work
m;general;town;yes;never;4;education
f;higher;town;yes;never;9;education
f;professional;town;yes;never;11;sep
m;general;town;yes;min_once_a_month;9;education
m;professional;town;yes;min_once_a_month;11;work
m;general;town;yes;min_once_a_month;10;work
f;general;town;yes;never;4;work
f;general;town;yes;never;7;education
m;higher;town;yes;sev_a_year;7;education
f;general;town;yes;never;5;partner
f;professional;town;yes;never;9;sep
m;professional;town;yes;min_once_a_month;4;work
m;higher;town;yes;min_once_a_month;11;work
f;professional;town;yes;never;8;marriage
f;professional;town;yes;never;7;sep
m;higher;town;yes;sev_a_year;7;sep
f;general;town;yes;never;10;marriage
f;professional;town;yes;never;9;marriage
f;professional;town;yes;never;7;education
m;higher;town;yes;sev_a_year;2;sep
f;higher;town;yes;never;10;sep
m;higher;town;yes;min_once_a_month;11;education
m;higher;town;yes;sev_a_year;5;sep
f;higher;town;yes;never;6;sep
f;higher;town;yes;never;3;sep
f;higher;town;yes;never;6;work
f;higher;town;yes;never;7;sep
f;higher;town;yes;never;9;education
f;higher;town;yes;never;7;marriage
m;higher;town;yes;never;6;sep
m;higher;town;yes;sev_a_year;10;marriage
m;higher;town;yes;never;6;marriage
m;higher;town;yes;never;6;work
f;higher;town;yes;never;6;work
m;professional;town;yes;sev_a_year;6;sep
f;general;town;yes;never;7;education
m;higher;town;yes;sev_a_year;7;education
f;general;town;yes;never;7;education
f;higher;town;yes;never;6;sep
f;higher;town;yes;never;4;sep
m;general;village;yes;never;10;education
f;general;village;yes;never;10;education
f;higher;village;yes;never;10;education
m;professional;village;yes;never;8;education
f;general;village;yes;never;8;education
f;professional;village;yes;never;9;work
f;professional;village;yes;never;6;work
f;general;village;yes;never;11;education
m;general;village;yes;min_once_a_month;9;education
m;general;village;yes;never;10;education
f;general;village;yes;never;7;work
m;general;village;yes;never;7;education
m;general;village;yes;never;4;education
f;higher;village;yes;never;3;work
m;higher;village;yes;never;6;marriage
m;general;village;yes;sev_a_year;9;sep
f;general;village;yes;min_once_a_month;8;education
f;general;village;yes;never;8;education
f;general;village;yes;never;8;education
f;general;village;yes;never;7;education
f;general;village;yes;sev_a_year;6;education
f;general;village;yes;never;8;education
f;higher;village;yes;never;11;sep
m;higher;village;yes;min_once_a_month;8;sep
